Removed Pin From Net: NetName=NetD3_1 Pin=R7-1
Removed Pin From Net: NetName=GND Pin=R7-2
Change Component Footprint: Designator=C17 Old Footprint=C0402 New Footprint=C_PLY_22X7
Change Component Footprint: Designator=R7 Old Footprint=R0402 New Footprint=R3W_AX09
Change Component Comment : Designator=R7 Old Comment=3W_68 New Comment=68R
Change component parameters: Designator = "C17" ("C17"); Footprint = "C0402"; UniqueID = "\ZBKXOBYP" ("\ZBKXOBYP")
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = "ASSEMBLY"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = "CAP, FILM,"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DIST#"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = "MANF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = "MANF_PART#"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM2"; Value = "400V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = "100= 1$"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "1uF/400V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R7" ("R7"); Footprint = "R0402"; UniqueID = "\FCXOMZZO" ("\FCXOMZZO")
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = "ASSEMBLY"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = "DESCRIPTION"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DIST#"; Value = "MOUSER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = "KOA SPEER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = "RK73H1ETTP4701F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = "0.063W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM2"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = "100= 0.5$"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "68R"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=R7-1
Added Pin To Net: NetName=NetD3_1 Pin=R7-2
