Change Component Footprint: Designator=J1 Old Footprint=GMSTB762_6 New Footprint=MSTB_6
Change Component Comment : Designator=R4 Old Comment=68R New Comment=270R
Change Component Comment : Designator=R6 Old Comment=68R New Comment=270R
Change Component Comment : Designator=R8 Old Comment=68R New Comment=270R
Change Component Comment : Designator=R10 Old Comment=68R New Comment=270R
Change Component Comment : Designator=J1 Old Comment=CONN_GMSTB6 New Comment=CONN_TB6
Change component parameters: Designator = "J1" ("J1"); Footprint = "GMSTB762_6"; UniqueID = "\FTETCHFT" ("\FTETCHFT")
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DIST#"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = "12A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM2"; Value = "320V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "CONN_TB6"; VariantName = "[No Variations]"
Change component parameters: Designator = "R4" ("R4"); Footprint = "R0603"; UniqueID = "\XCWFMWXH" ("\XCWFMWXH")
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = "ASSEMBLY"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = "DESCRIPTION"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DIST#"; Value = "MOUSER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = "-W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM2"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = "100= 0.5$"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "270R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R6" ("R6"); Footprint = "R0603"; UniqueID = "\NKBQIAYM" ("\NKBQIAYM")
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = "ASSEMBLY"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = "DESCRIPTION"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DIST#"; Value = "MOUSER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = "-W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM2"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = "100= 0.5$"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "270R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R8" ("R8"); Footprint = "R0603"; UniqueID = "\SLSNAXWX" ("\SLSNAXWX")
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = "ASSEMBLY"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = "DESCRIPTION"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DIST#"; Value = "MOUSER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = "-W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM2"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = "100= 0.5$"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "270R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R10" ("R10"); Footprint = "R0603"; UniqueID = "\AWPGAKJZ" ("\AWPGAKJZ")
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = "ASSEMBLY"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = "DESCRIPTION"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DIST#"; Value = "MOUSER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = "-W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM2"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = "100= 0.5$"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "270R"; VariantName = "[No Variations]"
Add Pin To Net: Unknown Pin: Pin RJ1-13
Add Pin To Net: Unknown Pin: Pin RJ1-14
